session_id,t1_g1_Bach_style_original,t1_g1_Mozart_style_original,t1_g1_Beethoven_style_original,t1_g1_Chopin_style_original,t1_g1_Quality_original,t1_g1_Coherent_original,t1_g1_Bach_style_steering,t1_g1_Mozart_style_steering,t1_g1_Beethoven_style_steering,t1_g1_Chopin_style_steering,t1_g1_Quality_steering,t1_g1_Coherent_steering,t1_g2_Bach_style_original,t1_g2_Mozart_style_original,t1_g2_Beethoven_style_original,t1_g2_Chopin_style_original,t1_g2_Quality_original,t1_g2_Coherent_original,t1_g2_Bach_style_steering,t1_g2_Mozart_style_steering,t1_g2_Beethoven_style_steering,t1_g2_Chopin_style_steering,t1_g2_Quality_steering,t1_g2_Coherent_steering,t1_g3_Bach_style_original,t1_g3_Mozart_style_original,t1_g3_Beethoven_style_original,t1_g3_Chopin_style_original,t1_g3_Quality_original,t1_g3_Coherent_original,t1_g3_Bach_style_steering,t1_g3_Mozart_style_steering,t1_g3_Beethoven_style_steering,t1_g3_Chopin_style_steering,t1_g3_Quality_steering,t1_g3_Coherent_steering,t2_g1_Bach_style_original,t2_g1_Mozart_style_original,t2_g1_Beethoven_style_original,t2_g1_Chopin_style_original,t2_g1_Quality_original,t2_g1_Coherent_original,t2_g1_Bach_style_steering,t2_g1_Mozart_style_steering,t2_g1_Beethoven_style_steering,t2_g1_Chopin_style_steering,t2_g1_Quality_steering,t2_g1_Coherent_steering,t2_g2_Bach_style_original,t2_g2_Mozart_style_original,t2_g2_Beethoven_style_original,t2_g2_Chopin_style_original,t2_g2_Quality_original,t2_g2_Coherent_original,t2_g2_Bach_style_steering,t2_g2_Mozart_style_steering,t2_g2_Beethoven_style_steering,t2_g2_Chopin_style_steering,t2_g2_Quality_steering,t2_g2_Coherent_steering,t2_g3_Bach_style_original,t2_g3_Mozart_style_original,t2_g3_Beethoven_style_original,t2_g3_Chopin_style_original,t2_g3_Quality_original,t2_g3_Coherent_original,t2_g3_Bach_style_steering,t2_g3_Mozart_style_steering,t2_g3_Beethoven_style_steering,t2_g3_Chopin_style_steering,t2_g3_Quality_steering,t2_g3_Coherent_steering,t3_g1_Bach_style_original,t3_g1_Mozart_style_original,t3_g1_Beethoven_style_original,t3_g1_Chopin_style_original,t3_g1_Quality_original,t3_g1_Coherent_original,t3_g1_Bach_style_steering,t3_g1_Mozart_style_steering,t3_g1_Beethoven_style_steering,t3_g1_Chopin_style_steering,t3_g1_Quality_steering,t3_g1_Coherent_steering,t3_g1_Integration_original,t3_g1_Balance_original,t3_g1_Integration_steering,t3_g1_Balance_steering,t3_g2_Bach_style_original,t3_g2_Mozart_style_original,t3_g2_Beethoven_style_original,t3_g2_Chopin_style_original,t3_g2_Quality_original,t3_g2_Coherent_original,t3_g2_Bach_style_steering,t3_g2_Mozart_style_steering,t3_g2_Beethoven_style_steering,t3_g2_Chopin_style_steering,t3_g2_Quality_steering,t3_g2_Coherent_steering,t3_g2_Integration_original,t3_g2_Balance_original,t3_g2_Integration_steering,t3_g2_Balance_steering,t3_g3_Bach_style_original,t3_g3_Mozart_style_original,t3_g3_Beethoven_style_original,t3_g3_Chopin_style_original,t3_g3_Quality_original,t3_g3_Coherent_original,t3_g3_Bach_style_steering,t3_g3_Mozart_style_steering,t3_g3_Beethoven_style_steering,t3_g3_Chopin_style_steering,t3_g3_Quality_steering,t3_g3_Coherent_steering,t3_g3_Integration_original,t3_g3_Balance_original,t3_g3_Integration_steering,t3_g3_Balance_steering
survey_responses_20250911_153242_e4b6a54d,5,2,,,5,5,2,5,,,4,3,,2,5,,5,5,,5,3,,5,5,,3,,4,5,5,,3,,4,5,5,5,1,,,5,5,5,4,,,5,5,,1,5,,4,4,,4,4,,5,5,,1,,5,5,5,,5,,3,5,5,5,2,,,5,5,5,5,,,5,5,3,3,5,5,,2,5,,5,5,,5,5,,5,5,2,2,5,5,,1,,5,5,5,,4,,5,4,5,1,1,4,4
survey_responses_20250911_160206_e4b6a54d,5,2,,,5,5,2,5,,,4,3,,1,5,,5,4,,5,2,,5,5,,2,,5,5,5,,1,,5,5,5,5,1,,,5,5,5,5,,,5,5,,1,4,,4,4,,4,4,,5,5,,1,,5,5,5,,5,,2,5,4,5,4,,,5,5,5,4,,,5,4,5,5,4,4,,1,5,,5,5,,4,2,,4,4,1,1,4,4,,1,,5,5,5,,4,,5,4,4,1,1,4,4
survey_responses_20250911_200852_e4b6a54d,3,3,,,5,5,2,5,,,5,5,,4,2,,5,5,,4,2,,5,5,,2,,3,4,4,,2,,3,3,3,4,2,,,4,4,4,4,,,4,4,,2,4,,4,4,,2,3,,5,5,,3,,3,4,4,,3,,3,5,5,2,4,,,4,3,2,4,,,3,3,2,2,3,3,,4,2,,5,5,,4,2,,5,5,5,5,4,4,,2,,4,4,4,,4,,3,5,5,4,3,5,5
survey_responses_20250911_200857_e4b6a54d,3,3,,,5,5,2,5,,,5,5,,4,2,,5,5,,4,2,,5,5,,2,,3,4,4,,2,,3,3,3,4,2,,,4,4,4,4,,,4,4,,2,4,,4,4,,2,3,,5,5,,3,,3,4,4,,3,,3,5,5,2,4,,,4,3,2,4,,,3,3,2,2,3,3,,4,2,,5,5,,4,2,,5,5,5,5,4,4,,2,,4,4,4,,4,,3,5,5,4,3,5,5
survey_responses_20250911_205452_e4b6a54d,5,2,,,5,5,2,5,,,5,5,,2,5,,5,5,,5,2,,5,5,,4,,5,5,5,,1,,5,5,5,5,2,,,5,5,5,2,,,5,5,,1,5,,5,4,,4,4,,5,5,,2,,5,5,5,,4,,5,5,5,5,2,,,5,5,5,5,,,5,5,3,3,5,5,,1,5,,5,5,,4,4,,5,5,1,1,5,5,,1,,5,5,5,,5,,5,5,5,1,1,5,5
survey_responses_20250911_211440_e4b6a54d,4,2,,,3,3,2,3,,,3,3,,2,3,,2,1,,3,1,,3,2,,2,,3,2,3,,2,,2,2,3,5,1,,,5,4,4,1,,,4,4,,1,2,,2,3,,4,1,,3,4,,1,,2,3,3,,3,,2,3,3,3,2,,,3,3,3,1,,,2,3,3,3,3,2,,2,3,,3,3,,3,3,,3,3,2,2,3,4,,1,,2,2,2,,1,,1,2,1,2,2,2,2
survey_responses_20250911_231043_e4b6a54d,4,2,,,4,3,4,2,,,5,4,,1,4,,3,3,,2,1,,2,2,,1,,2,2,3,,1,,1,3,4,4,1,,,4,3,5,2,,,5,5,,2,1,,2,2,,2,4,,4,5,,1,,3,4,3,,1,,4,4,2,4,1,,,5,5,4,3,,,4,5,2,1,3,3,,1,4,,2,3,,3,2,,2,3,2,2,1,1,,2,,4,3,4,,2,,4,2,2,2,1,2,1
survey_responses_20250911_231059_e4b6a54d,4,2,,,4,3,4,2,,,5,4,,1,4,,3,3,,2,1,,2,2,,1,,2,2,3,,1,,1,3,4,4,1,,,4,3,5,2,,,5,5,,2,1,,2,2,,2,4,,4,5,,1,,3,4,3,,1,,4,4,2,4,1,,,5,5,4,3,,,4,5,2,1,3,3,,1,4,,2,3,,3,2,,2,3,2,2,1,1,,2,,4,3,4,,2,,4,2,2,2,1,2,1
survey_responses_20250911_235100_e4b6a54d,4,2,,,3,3,4,3,,,4,4,,2,3,,3,2,,4,3,,3,2,,1,,4,4,4,,2,,3,3,3,5,2,,,5,5,5,3,,,4,4,,1,1,,1,1,,3,4,,4,4,,1,,4,4,3,,3,,2,3,3,4,2,,,3,4,4,2,,,3,4,2,1,2,1,,3,2,,3,2,,4,2,,4,3,3,2,3,3,,3,,4,3,3,,2,,3,3,3,3,2,2,1
survey_responses_20250912_002203_e4b6a54d,5,2,,,4,4,3,4,,,3,4,,2,4,,4,4,,4,2,,3,3,,4,,2,4,3,,3,,2,3,3,4,3,,,4,4,5,3,,,4,5,,4,3,,2,2,,3,4,,4,4,,2,,4,4,3,,4,,3,4,4,5,4,,,3,3,4,3,,,4,4,3,4,4,3,,4,3,,4,4,,3,3,,4,4,4,4,4,4,,4,,3,4,4,,4,,3,4,3,4,5,3,3
